ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,FunctionSource,FunctionQuality,Block,BlockSource,BlockQuality,Status,StatusSource,StatusQuality,Phase,PhaseSource,PhaseQuality,BuildingId,BuildingName,BuildingIdSource,BuildingIdQuality,ArchicadId,ArchicadIdRaw,ArchicadIdNormalization,ArchicadIdSource,ArchicadIdQuality,Storey,StoreyElevation,StoreyGlobalId,StoreySource,StoreyQuality,StoreyCalculated,StoreyCalculatedElevation,StoreyCalculatedSource,StoreyCalculatedQuality,ZPosition,ZMin,ZMax,ZCenter,ZSource,ZQuality,Materials,HasRepresentation
nds-main-general-v05|15R2xC1i5CVOPBg_r3VJyb,nds-main-general-v05,15R2xC1i5CVOPBg_r3VJyb,2678,IfcBuildingElementProxy,H,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:1F0Ghf6Bf57wogdTc3TD6P,Relationship,H,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 1,SpatialContainer.IfcSpace.Phase:1F0Ghf6Bf57wogdTc3TD6P,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,H,H,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,83.0,SpatialContainer.IfcSpace.StoreyCalculated:1F0Ghf6Bf57wogdTc3TD6P,Relationship,82.0897585,80.0,84.179517,82.0897585,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|28Mt1DMdPCbOr$2IatGuQS,nds-main-general-v05,28Mt1DMdPCbOr$2IatGuQS,2710,IfcBuildingElementProxy,I,,,,DŘEVO,RETAIL,SpatialContainer.IfcSpace.Name:0XDRlH8Ff4qxaqa3NNviV8,Relationship,I,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 1,SpatialContainer.IfcSpace.Phase:0XDRlH8Ff4qxaqa3NNviV8,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,I,I,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,77.7,SpatialContainer.IfcSpace.StoreyCalculated:0XDRlH8Ff4qxaqa3NNviV8,Relationship,79.4609845,76.514554,82.407415,79.4609845,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|0hJc5rDPjDZf2_sFJWyH6D,nds-main-general-v05,0hJc5rDPjDZf2_sFJWyH6D,2707,IfcBuildingElementProxy,E,,,,DŘEVO,RETAIL,SpatialContainer.IfcSpace.Name:0XDRlH8Ff4qxaqa3NNviV8,Relationship,E,IfcBuildingElementProxy.Name,Assumed,New,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 1,SpatialContainer.IfcSpace.Phase:0XDRlH8Ff4qxaqa3NNviV8,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,E,E,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,77.7,SpatialContainer.IfcSpace.StoreyCalculated:0XDRlH8Ff4qxaqa3NNviV8,Relationship,75.7988225,68.514554,83.083091,75.7988225,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|2hsgaBOvbDoP$BSWaQXw2X,nds-main-general-v05,2hsgaBOvbDoP$BSWaQXw2X,2731,IfcBuildingElementProxy,Etapa 1,,,,DŘEVO,RETAIL,SpatialContainer.IfcSpace.Name:0z0xSETIrAEPDaV2CuZS8Y,Relationship,H,SpatialContainer.IfcSpace.Block:0z0xSETIrAEPDaV2CuZS8Y,Relationship,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 1,IfcBuildingElementProxy.Name,Assumed,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,Etapa 1,Etapa 1,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,82.35,SpatialContainer.IfcSpace.StoreyCalculated:0z0xSETIrAEPDaV2CuZS8Y,Relationship,81.435226,78.514554,84.355898,81.435226,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|00F23UPWX53vKEfL4fTQXq,nds-main-general-v05,00F23UPWX53vKEfL4fTQXq,2737,IfcBuildingElementProxy,E,,,,DŘEVO,VZDĚLÁVÁNÍ A KULTURA,SpatialContainer.IfcSpace.Name:1te1EQFmLAjRNkRYlpVuiW,Relationship,E,IfcBuildingElementProxy.Name,Assumed,New,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 1,SpatialContainer.IfcSpace.Phase:1te1EQFmLAjRNkRYlpVuiW,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,E,E,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,83.0,SpatialContainer.IfcSpace.StoreyCalculated:1te1EQFmLAjRNkRYlpVuiW,Relationship,81.8001905,78.514554,85.085827,81.8001905,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|3pElXha1j3OutoATt5A9vK,nds-main-general-v05,3pElXha1j3OutoATt5A9vK,2767,IfcBuildingElementProxy,F,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:3zsJ1DjcH14f1BjCV$YdSn,Relationship,F,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 2,SpatialContainer.IfcSpace.Phase:3zsJ1DjcH14f1BjCV$YdSn,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,F,F,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,83.5,SpatialContainer.IfcSpace.StoreyCalculated:3zsJ1DjcH14f1BjCV$YdSn,Relationship,84.0947505,78.514554,89.674947,84.0947505,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|0B3pm_5GHBbxi1t7hjliUV,nds-main-general-v05,0B3pm_5GHBbxi1t7hjliUV,2773,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:0ptIXfF49699dznHIZ4g5P,Relationship,E,IfcBuildingElementProxy.Name,Assumed,New,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 3,SpatialContainer.IfcSpace.Phase:0ptIXfF49699dznHIZ4g5P,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,E,E,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,85.0,SpatialContainer.IfcSpace.StoreyCalculated:0ptIXfF49699dznHIZ4g5P,Relationship,84.7816445,78.514554,91.048735,84.7816445,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|1EgasiXh5EJwIVxzfy9U0k,nds-main-general-v05,1EgasiXh5EJwIVxzfy9U0k,2776,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:0ptIXfF49699dznHIZ4g5P,Relationship,E,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 3,SpatialContainer.IfcSpace.Phase:0ptIXfF49699dznHIZ4g5P,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,E,E,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,85.0,SpatialContainer.IfcSpace.StoreyCalculated:0ptIXfF49699dznHIZ4g5P,Relationship,86.4921545,83.514554,89.469755,86.4921545,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|1uTldYPBX2u8rM3KR8kaUY,nds-main-general-v05,1uTldYPBX2u8rM3KR8kaUY,2785,IfcBuildingElementProxy,B,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:0HXCsPHjvDXQWZMvqTmo_g,Relationship,B,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 3,SpatialContainer.IfcSpace.Phase:0HXCsPHjvDXQWZMvqTmo_g,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,B,B,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,88.0,SpatialContainer.IfcSpace.StoreyCalculated:0HXCsPHjvDXQWZMvqTmo_g,Relationship,86.757277,83.514554,90.0,86.757277,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|0PIJPuiRvC9e23BljAzBOL,nds-main-general-v05,0PIJPuiRvC9e23BljAzBOL,2791,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:0BTHwTjbb7RBVdUDdbFyYc,Relationship,E,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 3,SpatialContainer.IfcSpace.Phase:0BTHwTjbb7RBVdUDdbFyYc,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,E,E,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,87.0,SpatialContainer.IfcSpace.StoreyCalculated:0BTHwTjbb7RBVdUDdbFyYc,Relationship,86.2744005,83.514554,89.034247,86.2744005,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|176e9AtSXDRwkAVCbhjGna,nds-main-general-v05,176e9AtSXDRwkAVCbhjGna,2809,IfcBuildingElementProxy,Etapa 2,,,,DŘEVO,BYDLENÍ,SpatialContainer.IfcSpace.Name:2md7c49bj9Uxt5H6OTMynF,Relationship,F,SpatialContainer.IfcSpace.Block:2md7c49bj9Uxt5H6OTMynF,Relationship,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 2,IfcBuildingElementProxy.Name,Assumed,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,Etapa 2,Etapa 2,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,1,81.5,SpatialContainer.IfcSpace.StoreyCalculated:2md7c49bj9Uxt5H6OTMynF,Relationship,86.70676449999999,78.514554,94.898975,86.70676449999999,RenderedGeometry.WorldBounds,Computed,DŘEVO,True
nds-main-general-v05|0a0fURQAXCIPluH4Lr_LIg,nds-main-general-v05,0a0fURQAXCIPluH4Lr_LIg,2827,IfcBuildingElementProxy,B,,,,GENERIC - STRUCTURAL,BYDLENÍ,SpatialContainer.IfcSpace.Name:2jW5sA$WP7phjsW4qvcL7x,Relationship,B,IfcBuildingElementProxy.Name,Assumed,Existing,AC_Pset_RenovationAndPhasing.Renovation Status,Explicit,Etapa 3,SpatialContainer.IfcSpace.Phase:2jW5sA$WP7phjsW4qvcL7x,Relationship,00tMo7QcxqWdIGvc4sMN2A,Building,SpatialContainer.IfcBuilding:00tMo7QcxqWdIGvc4sMN2A,Relationship,B,B,PreservedUnstructured,ArchiCADProperties.Element ID,Explicit,0. Story,0.0,2lbmSflIj1IxyOP0RthXii,SpatialContainer.IfcBuildingStorey:2lbmSflIj1IxyOP0RthXii,Relationship,5,102.0,SpatialContainer.IfcSpace.StoreyCalculated:2jW5sA$WP7phjsW4qvcL7x,Relationship,102.95,102.9,103.0,102.95,RenderedGeometry.WorldBounds,Computed,GENERIC - STRUCTURAL,True
