ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Block,Status,Phase,BuildingId,BuildingName,ArchicadId,Storey,StoreyCalculated,Materials,HasRepresentation
nds-main-kk-adjustment-v09|0hJc5rDPjDZf2_sFJWyH6D,nds-main-kk-adjustment-v09,0hJc5rDPjDZf2_sFJWyH6D,2705,IfcBuildingElementProxy,E,,,,ZPEVNĚNÉ ULIČNÍ PROSTRANSTVÍ,RETAIL,E,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,ZPEVNĚNÉ ULIČNÍ PROSTRANSTVÍ,True
nds-main-kk-adjustment-v09|2hsgaBOvbDoP$BSWaQXw2X,nds-main-kk-adjustment-v09,2hsgaBOvbDoP$BSWaQXw2X,2730,IfcBuildingElementProxy,Etapa 1,,,,ZELENÁ INFRASTRUKTURA,RETAIL,H,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,Etapa 1,0. Story,1,ZELENÁ INFRASTRUKTURA,True
nds-main-kk-adjustment-v09|00F23UPWX53vKEfL4fTQXq,nds-main-kk-adjustment-v09,00F23UPWX53vKEfL4fTQXq,2736,IfcBuildingElementProxy,E,,,,ZPEVNĚNÉ ULIČNÍ PROSTRANSTVÍ,VZDĚLÁVÁNÍ A KULTURA,E,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,ZPEVNĚNÉ ULIČNÍ PROSTRANSTVÍ,True
nds-main-kk-adjustment-v09|0B3pm_5GHBbxi1t7hjliUV,nds-main-kk-adjustment-v09,0B3pm_5GHBbxi1t7hjliUV,2768,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,E,New,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-kk-adjustment-v09|176e9AtSXDRwkAVCbhjGna,nds-main-kk-adjustment-v09,176e9AtSXDRwkAVCbhjGna,2797,IfcBuildingElementProxy,Etapa 2,,,,ZELENÁ INFRASTRUKTURA,BYDLENÍ,F,Existing,Etapa 2,00tMo7QcxqWdIGvc4sMN2A,Building,Etapa 2,0. Story,1,ZELENÁ INFRASTRUKTURA,True
nds-main-kk-adjustment-v09|0a0fURQAXCIPluH4Lr_LIg,nds-main-kk-adjustment-v09,0a0fURQAXCIPluH4Lr_LIg,2814,IfcBuildingElementProxy,B,,,,ZELENÉ STŘECHY,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,5,ZELENÉ STŘECHY,True
nds-main-kk-adjustment-v09|1NtvSZ7dnBRPUPMU9l7GaU,nds-main-kk-adjustment-v09,1NtvSZ7dnBRPUPMU9l7GaU,2818,IfcBuildingElementProxy,B,,,,ZELENÉ STŘECHY,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,5,ZELENÉ STŘECHY,True
nds-main-kk-adjustment-v09|0WOYOtvaT5jgZcRO3Vf38l,nds-main-kk-adjustment-v09,0WOYOtvaT5jgZcRO3Vf38l,2825,IfcBuildingElementProxy,J,,,,FVE,,J,New,,00tMo7QcxqWdIGvc4sMN2A,Building,J,0. Story,,FVE,True
nds-main-kk-adjustment-v09|0JVusEp7vCzA7r3MGEOq_7,nds-main-kk-adjustment-v09,0JVusEp7vCzA7r3MGEOq_7,2901,IfcBuildingElementProxy,E,,,,ZPEVNĚNÉ ULIČNÍ PROSTRANSTVÍ,BYDLENÍ,E,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,ZPEVNĚNÉ ULIČNÍ PROSTRANSTVÍ,True
nds-main-kk-adjustment-v09|1iv$FuXp5CtvckYJoW4Ik$,nds-main-kk-adjustment-v09,1iv$FuXp5CtvckYJoW4Ik$,3236,IfcBuildingElementProxy,B,,,,ZELENÉ STŘECHY,,B,Existing,,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,,ZELENÉ STŘECHY,True
