ElementKey,ModelId,GlobalId,ExpressId,IfcClass,PropertyKind,PropertySet,PropertyName,SourceScope,ValueType,ValueText,ValueNumber,ValueBoolean,RawValue
nds-main-v01|15R2xC1i5CVOPBg_r3VJyb,nds-main-v01,15R2xC1i5CVOPBg_r3VJyb,2737,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|15R2xC1i5CVOPBg_r3VJyb,nds-main-v01,15R2xC1i5CVOPBg_r3VJyb,2737,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|0hJc5rDPjDZf2_sFJWyH6D,nds-main-v01,0hJc5rDPjDZf2_sFJWyH6D,2813,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|0hJc5rDPjDZf2_sFJWyH6D,nds-main-v01,0hJc5rDPjDZf2_sFJWyH6D,2813,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|28Mt1DMdPCbOr$2IatGuQS,nds-main-v01,28Mt1DMdPCbOr$2IatGuQS,2826,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|28Mt1DMdPCbOr$2IatGuQS,nds-main-v01,28Mt1DMdPCbOr$2IatGuQS,2826,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|2hsgaBOvbDoP$BSWaQXw2X,nds-main-v01,2hsgaBOvbDoP$BSWaQXw2X,2977,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|2hsgaBOvbDoP$BSWaQXw2X,nds-main-v01,2hsgaBOvbDoP$BSWaQXw2X,2977,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|00F23UPWX53vKEfL4fTQXq,nds-main-v01,00F23UPWX53vKEfL4fTQXq,3004,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|00F23UPWX53vKEfL4fTQXq,nds-main-v01,00F23UPWX53vKEfL4fTQXq,3004,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
