ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Materials,HasRepresentation
nds-main-v01|15R2xC1i5CVOPBg_r3VJyb,nds-main-v01,15R2xC1i5CVOPBg_r3VJyb,2737,IfcBuildingElementProxy,H,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|0hJc5rDPjDZf2_sFJWyH6D,nds-main-v01,0hJc5rDPjDZf2_sFJWyH6D,2813,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,RETAIL,DŘEVO,True
nds-main-v01|28Mt1DMdPCbOr$2IatGuQS,nds-main-v01,28Mt1DMdPCbOr$2IatGuQS,2826,IfcBuildingElementProxy,I,,,NOTDEFINED,DŘEVO,RETAIL,DŘEVO,True
nds-main-v01|2hsgaBOvbDoP$BSWaQXw2X,nds-main-v01,2hsgaBOvbDoP$BSWaQXw2X,2977,IfcBuildingElementProxy,Etapa 1,,,NOTDEFINED,DŘEVO,RETAIL,DŘEVO,True
nds-main-v01|00F23UPWX53vKEfL4fTQXq,nds-main-v01,00F23UPWX53vKEfL4fTQXq,3004,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,VZDĚLÁVÁNÍ A KULTURA,DŘEVO,True
nds-main-v01|3pElXha1j3OutoATt5A9vK,nds-main-v01,3pElXha1j3OutoATt5A9vK,3150,IfcBuildingElementProxy,F,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|0B3pm_5GHBbxi1t7hjliUV,nds-main-v01,0B3pm_5GHBbxi1t7hjliUV,3197,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|1EgasiXh5EJwIVxzfy9U0k,nds-main-v01,1EgasiXh5EJwIVxzfy9U0k,3222,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|1uTldYPBX2u8rM3KR8kaUY,nds-main-v01,1uTldYPBX2u8rM3KR8kaUY,3262,IfcBuildingElementProxy,B,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|0PIJPuiRvC9e23BljAzBOL,nds-main-v01,0PIJPuiRvC9e23BljAzBOL,3286,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|176e9AtSXDRwkAVCbhjGna,nds-main-v01,176e9AtSXDRwkAVCbhjGna,3348,IfcBuildingElementProxy,Etapa 2,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
